"","Ind","Treatment","LAT","POP","FAM","FT","FlwrVeg","PC1_avg","PC2_avg","PC1_skew","PC2_skew","PC1_var","PC2_var","Fit","Dam"
"371","E10-74","Sprayed",38.7966,"2","2-21",698.783333333333,110.25,0.537681703438475,0.164125342211561,0.451418143528508,0.22665505771445,0.44397252673139,0.6425504893394,20.3556590717376,0.282142857142857
"372","E10-75","Sprayed",44.6076,"13","13-78",562.45,86.5,-0.735132277054752,0.0116559070086096,0.072916934463855,-0.752643879178928,0.429816359047978,0.879178120683298,28.3956590717376,0.154040404040404
"373","E10-76","Sprayed",38.8235,"1","1-7",696.583333333333,109.916666666667,0.518640259789994,0.163162808095883,-0.330398068530848,-0.45281718673486,0.407506835977344,0.832369268842646,26.6606590717376,0.428571428571428
"374","E10-77","Sprayed",41.42692,"5","5-12",660.133333333333,90.8333333333333,-0.203740933815705,-0.25968372529618,0.052365967712657,-0.132444954268255,0.279062046654532,0.851360185787907,10.0033935709427,0.425
"375","E10-78","Sprayed",41.57154,"6","6-44",559.383333333333,92.75,-0.560195437614534,0.211793650646216,0.466648311391932,-0.929980393290836,0.0744554287799574,0.807904032454687,48.5856590717376,0.311111111111111
"376","E10-79","Sprayed",44.75284,"16","16-38",572.283333333333,89.9166666666667,-0.592208267436387,0.0737726694728234,0.555727866172622,-0.738361861296613,0.0667687824033143,0.78803470915561,25.5356590717376,0.379761904761905
"377","E10-8","Sprayed",40.06813,"4","4-80",814.125555555555,98.8333333333333,0.669036675334232,-0.652365868106028,1.70957379495082,-0.24798222606991,0.432024781797771,0.453038735085643,18.1250523326072,0.35
"378","E10-80","Sprayed",45.76868,"18","18-69",703.663333333333,102.25,0.317685124477872,-0.0959735451674495,0.737345872486006,-1.07151098251505,0.265724898607209,0.614410942571545,12.6356590717376,0.583333333333333
"379","E10-81","Sprayed",44.2915,"15","15-22",513.066666666667,67.6666666666667,-1.50315301611051,-0.35054809761032,0.87646601989422,-0.318591751219942,0.27052245976765,0.932960243532437,29.6756590717376,0.241666666666667
"380","E10-82","Sprayed",46.75552,"22","22-24",658.070666666667,86.3,-0.348243156262571,-0.387235600441776,-0.296793463500603,-1.05296897048855,0.288495683765285,0.961120822194571,9.7706590717376,0.323333333333333
"381","E10-83","Sprayed",44.2915,"15","15-14",576.25,88.8333333333333,-0.608416320436415,0.0249677947393721,0.877602155512038,-0.540925430828862,0.426079445347087,1.46286289593104,17.8106590717376,0.263888888888889
"382","E10-84","Sprayed",42.79109,"9","9-36",578.116666666667,72.75,-1.08334244358852,-0.465298009228806,0.366255054181369,0.26823792826517,0.560009137082025,0.55483343093078,4.77839357094269,0.148148148148148
"383","E10-85","Sprayed",44.75284,"16","16-60",670.175555555556,104.333333333333,0.242601531150024,0.104134909186242,-0.278545352223765,-0.188666030659527,0.754017156658232,0.683918626534645,13.6906590717376,0.469444444444444
"384","E10-86","Sprayed",47.73136,"19","19-25",576.38,85.8,-0.698900269663437,-0.0665844536873819,-0.179368225741839,-1.36734060491218,0.276009558551359,1.74771013683085,13.787717895267,0.344444444444444
"385","E10-87","Sprayed",38.8235,"1","1-47",717.213333333333,90.625,0.0245405858905371,-0.500467731104846,-0.151472290898119,-0.691006718156436,0.0208395265485564,2.03593911289992,5.26771789526701,0.3
"386","E10-88","Sprayed",43.69717,"10","10-76",794.075555555556,97,0.531643432816252,-0.624994503290939,0.29854873253006,-0.586652958763559,0.121828671497705,0.399744940826401,22.9356590717376,0.406349206349206
"387","E10-89","Sprayed",48.10384,"20","20-59",615.633333333333,112.166666666667,0.253542837770912,0.563287080022742,0.766783169562546,-0.329009049765395,0.696433127879946,1.71776918741834,25.3006590717376,0.261904761904762
"388","E10-9","Sprayed",38.7966,"2","2-12",785.225555555556,88.8333333333333,0.250231443986075,-0.833679969682492,0.0215191632340358,-0.188386299741482,0.0587957186959621,0.676851911252373,6.55065907173761,0.288888888888889
"389","E10-90","Sprayed",44.75284,"16","16-48",611.216666666667,91.4166666666667,-0.387228360388809,-0.0411893376359586,0.345909040306524,-0.292315987739853,0.584040424605053,1.43328939167543,19.3506590717376,0.391666666666667
"390","E10-91","Sprayed",40.06813,"4","4-66",611,129.333333333333,0.749607625613817,1.09742714703361,-0.508514557085107,-1.0927087736662,0.667866130521195,0.988577443010633,115.560659071738,0.341468253968254
"391","E10-92","Sprayed",44.54749,"12","12-36",638.942222222222,92.6666666666667,-0.235800945118319,-0.117601836290798,-0.224968245548141,-0.386365047041706,0.232512326612656,0.673695425934349,19.5756590717376,0.285714285714286
"392","E10-93","Sprayed",43.69717,"10","10-7",496.683333333333,76.25,-1.31291834811973,-0.0256803381742588,0.499754040226686,-1.59205386507789,0.0746989886133998,0.579706372318273,41.2406590717376,0.388888888888889
"393","E10-94","Sprayed",40.06813,"4","4-48",593.4,93.9166666666667,-0.385419331237591,0.107031466443903,0.542354691387507,-0.364277015466082,0.863901009398277,0.651314858773931,44.2006590717376,0.394444444444444
