"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-171",93.5,"2018",3,"3-46",40.23327,-77.280415,"PAOL","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,91,91,91,NA,0.5,NA,2
"E1-172",87.5,"2018",4,"4-64",40.06813,-76.90717204,"PAGP","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,88,88,88,15.3670434782609,0.333333333333333,NA,6
"E1-173",107,"2018",16,"16-52",44.75284,-79.33799797,"ONWA","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,108.5,108.5,108.5,23.7270434782609,0.125,NA,8
"E1-174",103,"2018",8,"8-55",41.97527,-75.19598002,"NYEB","E1","Sprayed",230,197,NA,1038,1629.7,627.8,1054.5,NA,NA,102,102,102,4.44704347826087,0,NA,3
"E1-175",74.5,"2018",19,"19-69",47.73136,-80.32791398,"ONEL","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,76,76,76,1.93704347826087,0,NA,4
"E1-176",92.5,"2018",22,"22-45",46.75552,-79.04650404,"QCTM","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,93.5,93.5,93.5,8.09704347826087,0,NA,8
"E1-177",130.5,"2018",1,"1-12",38.8235,-77.71118397,"VABR","E1","Sprayed",211,190,230,797.4,1294.1,533.4,925.1,1038,1629.7,131.5,131.5,131.5,10.0970434782609,0.125,NA,8
"E1-178",92,"2018",18,"18-2",45.76868,-79.39777502,"ONSU","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,84.5,84.5,84.5,13.9170434782609,0,NA,7
"E1-179",107.5,"2018",12,"12-68",44.54749,-76.12868903,"ONLY","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,106,106,106,6.56704347826087,0,NA,7
"E1-18",93,"2018",18,"18-3",45.76868,-79.39777502,"ONSU","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,90,90,90,19.2170434782609,0,NA,6
"E1-180",141,"2018",17,"17-70",45.02376,-79.31190301,"ONBB","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,137.5,137.5,137.5,12.3970434782609,0.111111111111111,NA,9
"E1-181",111,"2018",17,"17-48",45.02376,-79.31190301,"ONBB","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,109.5,109.5,109.5,4.46704347826087,0,NA,3
"E1-182",101,"2018",3,"3-75",40.23327,-77.280415,"PAOL","E1","Sprayed",211,190,211,797.4,1294.1,533.4,925.1,797.4,1294.1,100,100,100,1.27704347826087,0,NA,6
"E1-183",88,"2018",15,"15-56",44.2915,-79.04909003,"ONBV","E1","Sprayed",171,171,211,324.3,621,324.3,621,797.4,1294.1,89,89,89,9.16704347826087,0,NA,6
"E1-184",107.5,"2018",14,"14-17",44.29771,-78.300041,"ONPB","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,106.5,106.5,106.5,3.79704347826087,0,NA,4
"E1-185",107,"2018",12,"12-3",44.54749,-76.12868903,"ONLY","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,109,109,109,14.9070434782609,0,NA,7
"E1-186",119.5,"2018",17,"17-21",45.02376,-79.31190301,"ONBB","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,121,121,121,5.82704347826087,0.2,NA,5
"E1-187",111.5,"2018",3,"3-24",40.23327,-77.280415,"PAOL","E1","Sprayed",218,211,230,895.6,1427.3,797.4,1294.1,1038,1629.7,112.5,112.5,112.5,1.90704347826087,0,NA,8
"E1-188",111.5,"2018",13,"13-33",44.6076,-76.27898502,"ONCQ","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,109,109,109,23.0970434782609,0.142857142857143,NA,7
"E1-189",98.5,"2018",5,"5-28",41.42692,-75.63466896,"PASC","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,100,100,100,1.72704347826087,0.5,NA,2
"E1-19",123,"2018",4,"4-14",40.06813,-76.90717204,"PAGP","E1","Sprayed",211,197,218,797.4,1294.1,627.8,1054.5,895.6,1427.3,123.5,123.5,123.5,4.25704347826087,0,NA,6
"E1-190",139,"2018",2,"2-35",38.7966,-77.29988901,"VAFF","E1","Sprayed",211,184,211,797.4,1294.1,462.5,824.2,797.4,1294.1,138,138,138,8.11704347826087,0.4,NA,5
"E1-191",130.5,"2018",11,"11-58",43.28958,-76.128568,"NYWM","E1","Sprayed",218,197,218,895.6,1427.3,627.8,1054.5,895.6,1427.3,130,130,130,0.62704347826087,0,NA,3
"E1-192",93,"2018",22,"22-48",46.75552,-79.04650404,"QCTM","E1","Sprayed",211,184,211,797.4,1294.1,462.5,824.2,797.4,1294.1,94,94,94,3.14704347826087,0.333333333333333,NA,3
"E1-193",89,"2018",15,"15-23",44.2915,-79.04909003,"ONBV","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,88.5,88.5,88.5,25.8770434782609,0,NA,5
"E1-194",82.5,"2018",10,"10-62",43.69717,-76.19529499,"NYLV","E1","Sprayed",197,184,211,627.8,1054.5,462.5,824.2,797.4,1294.1,86,86,86,1.87704347826087,0.111111111111111,NA,9
"E1-195",92,"2018",5,"5-37",41.42692,-75.63466896,"PASC","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,96,96,96,7.06704347826087,0,NA,2
"E1-196",104,"2018",12,"12-6",44.54749,-76.12868903,"ONLY","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,104,104,104,11.2370434782609,0.125,NA,8
"E1-197",95,"2018",5,"5-74",41.42692,-75.63466896,"PASC","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,97,97,97,4.27704347826087,0,NA,2
"E1-198",87,"2018",12,"12-47",44.54749,-76.12868903,"ONLY","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,91,91,91,12.9570434782609,0.166666666666667,NA,6
"E1-199",81,"2018",12,"12-29",44.54749,-76.12868903,"ONLY","E1","Sprayed",197,184,211,627.8,1054.5,462.5,824.2,797.4,1294.1,86,86,86,10.4070434782609,0,NA,7
"E1-2",76,"2018",18,"18-77",45.76868,-79.39777502,"ONSU","E1","Sprayed",184,171,211,462.5,824.2,324.3,621,797.4,1294.1,80,80,80,3.66704347826087,0.5,NA,4
"E1-20",91.5,"2018",19,"19-6",47.73136,-80.32791398,"ONEL","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,91.5,91.5,91.5,4.36704347826087,0.5,NA,4
"E1-200",114,"2018",19,"19-38",47.73136,-80.32791398,"ONEL","E1","Sprayed",179,171,211,386,722.7,324.3,621,797.4,1294.1,114.5,114.5,114.5,15.3670434782609,0.25,NA,4
