"ind","pop","fam","lat","lon"
"E3-74","3","24",40.23327,-77.280415
"E3-75","22","46",46.75552,-79.04650404
"E3-76","22","64",46.75552,-79.04650404
"E3-77","17","76",45.02376,-79.31190301
"E3-78","1","71",38.8235,-77.71118397
"E3-79","1","25",38.8235,-77.71118397
"E3-80","4","26",40.06813,-76.90717204
"E3-81","9","36",42.79109,-76.135327
"E3-82","2","74",38.7966,-77.29988901
"E3-83","14","17",44.29771,-78.300041
"E3-84","18","80",45.76868,-79.39777502
"E3-85","14","21",44.29771,-78.300041
"E3-86","16","52",44.75284,-79.33799797
"E3-87","11","37",43.28958,-76.128568
"E3-88","18","69",45.76868,-79.39777502
"E3-89","1","2",38.8235,-77.71118397
"E3-90","18","19",45.76868,-79.39777502
"E3-91","14","30",44.29771,-78.300041
"E3-92","18","50",45.76868,-79.39777502
"E3-93","13","37",44.6076,-76.27898502
"E3-94","3","46",40.23327,-77.280415
"E3-95","8","43",41.97527,-75.19598002
"E3-96","10","2",43.69717,-76.19529499
"E3-97","15","23",44.2915,-79.04909003
"E3-98","8","75",41.97527,-75.19598002
"E3-99","18","30",45.76868,-79.39777502
"E3-100","22","24",46.75552,-79.04650404
"E3-101","13","53",44.6076,-76.27898502
"E3-103","10","30",43.69717,-76.19529499
"E3-104","6","55",41.57154,-74.48428896
"E3-105","4","14",40.06813,-76.90717204
"E3-106","16","28",44.75284,-79.33799797
"E3-107","19","70",47.73136,-80.32791398
"E3-108","20","23",48.10384,-80.19977597
"E3-109","8","32",41.97527,-75.19598002
"E3-110","15","56",44.2915,-79.04909003
"E3-111","10","54",43.69717,-76.19529499
"E3-112","22","6",46.75552,-79.04650404
"E3-113","2","21",38.7966,-77.29988901
"E3-114","2","74",38.7966,-77.29988901
"E3-115","5","37",41.42692,-75.63466896
"E3-116","5","28",41.42692,-75.63466896
"E3-117","22","57",46.75552,-79.04650404
"E3-118","1","47",38.8235,-77.71118397
"E3-119","16","9",44.75284,-79.33799797
"E3-120","22","32",46.75552,-79.04650404
"E3-121","1","59",38.8235,-77.71118397
"E3-122","9","49",42.79109,-76.135327
"E3-123","1","26",38.8235,-77.71118397
"E3-124","13","27",44.6076,-76.27898502
"E3-125","13","33",44.6076,-76.27898502
"E3-126","2","35",38.7966,-77.29988901
"E3-127","10","29",43.69717,-76.19529499
"E3-128","14","61",44.29771,-78.300041
"E3-129","2","19",38.7966,-77.29988901
"E3-130","9","54",42.79109,-76.135327
"E3-131","16","59",44.75284,-79.33799797
"E3-132","15","13",44.2915,-79.04909003
"E3-133","4","73",40.06813,-76.90717204
"E3-134","19","6",47.73136,-80.32791398
"E3-135","2","77",38.7966,-77.29988901
"E3-136","6","20",41.57154,-74.48428896
"E3-137","3","76",40.23327,-77.280415
"E3-138","20","41",48.10384,-80.19977597
"E3-139","20","9",48.10384,-80.19977597
"E3-140","6","44",41.57154,-74.48428896
"E3-141","10","7",43.69717,-76.19529499
"E3-142","2","25",38.7966,-77.29988901
