"ind","FFDAYS","FLOWER"
"E2-110",NA,FALSE
"E2-111",197,TRUE
"E2-112",224,TRUE
"E2-113",197,TRUE
"E2-114",197,TRUE
"E2-115",NA,FALSE
"E2-116",190,TRUE
"E2-117",190,TRUE
"E2-118",211,TRUE
"E2-119",NA,FALSE
"E2-12",184,TRUE
"E2-120",211,TRUE
"E2-121",184,TRUE
"E2-122",211,TRUE
"E2-123",211,TRUE
"E2-124",190,TRUE
"E2-125",211,TRUE
"E2-126",190,TRUE
"E2-127",211,TRUE
"E2-128",190,TRUE
"E2-129",211,TRUE
"E2-13",184,TRUE
"E2-130",211,TRUE
"E2-131",211,TRUE
"E2-132",211,TRUE
"E2-133",219,TRUE
"E2-134",211,TRUE
"E2-135",197,TRUE
"E2-136",197,TRUE
"E2-137",211,TRUE
"E2-138",197,TRUE
"E2-139",211,TRUE
"E2-14",190,TRUE
"E2-140",179,TRUE
"E2-141",NA,FALSE
"E2-142",197,TRUE
"E2-143",211,TRUE
"E2-144",197,TRUE
"E2-145",184,TRUE
"E2-146",197,TRUE
"E2-147",211,TRUE
"E2-148",184,TRUE
"E2-149",197,TRUE
"E2-15",190,TRUE
"E2-150",219,TRUE
"E2-151",197,TRUE
"E2-152",211,TRUE
"E2-153",197,TRUE
"E2-154",197,TRUE
"E2-155",179,TRUE
"E2-156",197,TRUE
"E2-157",NA,FALSE
"E2-158",190,TRUE
"E2-159",219,TRUE
"E2-16",197,TRUE
"E2-160",211,TRUE
"E2-161",197,TRUE
"E2-162",211,TRUE
"E2-163",211,TRUE
"E2-164",232,TRUE
"E2-165",197,TRUE
"E2-166",211,TRUE
"E2-167",211,TRUE
"E2-168",184,TRUE
"E2-169",197,TRUE
"E2-17",184,TRUE
"E2-170",197,TRUE
"E2-171",197,TRUE
"E2-172",211,TRUE
"E2-173",197,TRUE
"E2-174",211,TRUE
"E2-175",211,TRUE
"E2-176",211,TRUE
"E2-177",211,TRUE
"E2-178",184,TRUE
"E2-179",211,TRUE
"E2-18",171,TRUE
"E2-180",179,TRUE
"E2-181",190,TRUE
"E2-182",190,TRUE
"E2-183",190,TRUE
"E2-184",197,TRUE
"E2-185",219,TRUE
"E2-186",219,TRUE
"E2-187",NA,FALSE
"E2-188",190,TRUE
"E2-189",224,TRUE
"E2-19",190,TRUE
"E2-190",184,TRUE
"E2-191",197,TRUE
"E2-192",219,TRUE
"E2-193",190,TRUE
"E2-194",NA,FALSE
"E2-195",219,TRUE
"E2-196",190,TRUE
"E2-197",219,TRUE
"E2-198",211,TRUE
"E2-199",197,TRUE
"E2-2",190,TRUE
"E2-20",190,TRUE
"E2-200",190,TRUE
"E2-201",211,TRUE
"E2-202",211,TRUE
"E2-203",190,TRUE
"E2-204",190,TRUE
"E2-205",184,TRUE
"E2-21",197,TRUE
"E2-22",184,TRUE
"E2-23",190,TRUE
"E2-24",179,TRUE
"E2-25",190,TRUE
"E2-26",184,TRUE
"E2-27",190,TRUE
"E2-28",211,TRUE
"E2-29",184,TRUE
"E2-3",184,TRUE
"E2-30",197,TRUE
"E2-31",184,TRUE
"E2-32",190,TRUE
"E2-33",197,TRUE
"E2-34",190,TRUE
"E2-35",219,TRUE
"E2-36",232,TRUE
"E2-37",224,TRUE
"E2-38",184,TRUE
"E2-39",190,TRUE
"E2-4",211,TRUE
"E2-40",NA,FALSE
"E2-41",184,TRUE
"E2-42",197,TRUE
"E2-43",211,TRUE
"E2-44",211,TRUE
"E2-45",211,TRUE
"E2-46",211,TRUE
"E2-47",211,TRUE
"E2-48",197,TRUE
"E2-49",224,TRUE
"E2-5",197,TRUE
"E2-50",211,TRUE
"E2-51",211,TRUE
"E2-52",211,TRUE
"E2-53",211,TRUE
"E2-54",197,TRUE
"E2-55",211,TRUE
"E2-56",184,TRUE
"E2-57",179,TRUE
"E2-58",211,TRUE
"E2-59",224,TRUE
"E2-6",184,TRUE
"E2-60",211,TRUE
"E2-61",211,TRUE
"E2-62",219,TRUE
"E2-63",211,TRUE
"E2-64",224,TRUE
"E2-65",219,TRUE
"E2-66",NA,FALSE
"E2-67",NA,FALSE
"E2-68",211,TRUE
"E2-69",211,TRUE
