"date.dmg","ind","block","pos","dmg.score","dmg.pstems","treatment","ind.month","weight.raw","weight.adj","weight.rel","pop","fam","pfam","lat","lon","date.heights","veg","bud","months","first.flower","FLOWER"
"19-Jun-19","E4-96","E4","96",1,0.1,"control","E4-96-Jun",45.04,15.99417,2.89276690821439,"5","34","5-34",41.42692,-75.63466896,"2019-06-17",76.5,NA,"Jun",212,TRUE
"19-Jun-19","E4-97","E4","97",2,0.6,"control","E4-97-Jun",36.59,7.54417,1.3644675107207,"22","11","22-11",46.75552,-79.04650404,"2019-06-17",77,NA,"Jun",212,TRUE
"19-Jun-19","E4-98","E4","98",2,0.6,"control","E4-98-Jun",34.3,5.25417,0.950289330808213,"19","40","19-40",47.73136,-80.32791398,"2019-06-17",65.5,NA,"Jun",204,TRUE
"19-Jun-19","E4-99","E4","99",2,0.428571428571429,"control","E4-99-Jun",29.66,0.614170000000001,0.111081140941858,"20","41","20-41",48.10384,-80.19977597,"2019-06-17",84,NA,"Jun",272,TRUE
"19-Jun-19","E4-100","E4","100",3,0.307692307692308,"control","E4-100-Jun",37.62,8.57417,1.55075725976431,"6","5","6-5",41.57154,-74.48428896,"2019-06-17",60.5,NA,"Jun",NA,FALSE
"20-Jun-19","E4-101","E4","101",3,0,"control","E4-101-Jun",41.29,12.24417,2.21452753062843,"5","50","5-50",41.42692,-75.63466896,"2019-06-17",83,84,"Jun",212,TRUE
"20-Jun-19","E4-102","E4","102",3,1,"control","E4-102-Jun",46.4,17.35417,3.13874172248556,"13","37","13-37",44.6076,-76.27898502,"2019-06-17",75,75.5,"Jun",204,TRUE
"20-Jun-19","E4-103","E4","103",2,0.25,"control","E4-103-Jun",34.74,5.69417,1.0298694177783,"6","19","6-19",41.57154,-74.48428896,"2019-06-17",64,NA,"Jun",225,TRUE
"20-Jun-19","E4-104","E4","104",2,0.4,"control","E4-104-Jun",39.69,10.64417,1.92514539619176,"11","26","11-26",43.28958,-76.128568,"2019-06-17",63,NA,"Jun",204,TRUE
"20-Jun-19","E4-105","E4","105",2,0.666666666666667,"control","E4-105-Jun",39.32,10.27417,1.85822577760328,"20","5","20-5",48.10384,-80.19977597,"2019-06-17",58.5,NA,"Jun",225,TRUE
"20-Jun-19","E4-106","E4","106",2,0.4,"control","E4-106-Jun",30.76,1.71417,0.310031358367071,"16","38","16-38",44.75284,-79.33799797,"2019-06-17",71,NA,"Jun",272,TRUE
"20-Jun-19","E4-107","E4","107",1,0.4,"control","E4-107-Jun",34.06,5.01417,0.906882010642712,"6","44","6-44",41.57154,-74.48428896,"2019-06-17",49,NA,"Jun",212,TRUE
"20-Jun-19","E4-108","E4","108",1,0.3,"control","E4-108-Jun",53.67,24.62417,4.4536217958322,"14","20","14-20",44.29771,-78.300041,"2019-06-17",59.5,NA,"Jun",190,TRUE
"20-Jun-19","E4-109","E4","109",2,1,"control","E4-109-Jun",53.07,24.02417,4.34510349541845,"17","65","17-65",45.02376,-79.31190301,"2019-06-17",68,NA,"Jun",212,TRUE
"20-Jun-19","E4-110","E4","110",2,0.5,"control","E4-110-Jun",33.5,4.45417,0.805598263589876,"20","73","20-73",48.10384,-80.19977597,"2019-06-17",74.5,NA,"Jun",220,TRUE
"20-Jun-19","E4-111","E4","111",1,0.222222222222222,"control","E4-111-Jun",36.42,7.37417,1.33372065893681,"16","52","16-52",44.75284,-79.33799797,"2019-06-17",64.5,NA,"Jun",190,TRUE
"20-Jun-19","E4-112","E4","112",3,0.333333333333333,"control","E4-112-Jun",31.45,2.40417,0.434827403842887,"3","24","3-24",40.23327,-77.280415,"2019-06-17",63,NA,"Jun",272,TRUE
"20-Jun-19","E4-113","E4","113",2,0.125,"control","E4-113-Jun",35.02,5.97417,1.08051129130472,"22","57","22-57",46.75552,-79.04650404,"2019-06-17",63,NA,"Jun",197,TRUE
"20-Jun-19","E4-114","E4","114",2,0.5,"control","E4-114-Jun",37.4,8.35417,1.51096721627927,"18","69","18-69",45.76868,-79.39777502,"2019-06-17",76,NA,"Jun",212,TRUE
"20-Jun-19","E4-115","E4","115",3,0.833333333333333,"control","E4-115-Jun",33.83,4.78417,0.86528332881744,"11","68","11-68",43.28958,-76.128568,"2019-06-17",52,NA,"Jun",220,TRUE
"20-Jun-19","E4-116","E4","116",1,0,"control","E4-116-Jun",29.48,0.434170000000002,0.0785256508177322,"9","33","9-33",42.79109,-76.135327,"2019-06-17",43,NA,"Jun",NA,FALSE
"20-Jun-19","E4-117","E4","117",2,0,"control","E4-117-Jun",32.19,3.14417,0.568666641019849,"12","47","12-47",44.54749,-76.12868903,"2019-06-17",67.5,NA,"Jun",204,TRUE
"20-Jun-19","E4-118","E4","118",1,0.875,"control","E4-118-Jun",35.18,6.13417,1.10944950474838,"20","37","20-37",48.10384,-80.19977597,"2019-06-17",80,NA,"Jun",220,TRUE
"20-Jun-19","E4-119","E4","119",2,0.125,"control","E4-119-Jun",36.97,7.92417,1.43319576764941,"17","13","17-13",45.02376,-79.31190301,"2019-06-17",71.5,NA,"Jun",272,TRUE
"20-Jun-19","E4-120","E4","120",2,0,"control","E4-120-Jun",30.54,1.49417,0.270241314882029,"3","76","3-76",40.23327,-77.280415,"2019-06-17",76.5,NA,"Jun",225,TRUE
"20-Jun-19","E4-121","E4","121",2,0.333333333333333,"control","E4-121-Jun",31.37,2.32417,0.420358297121053,"1","20","1-20",38.8235,-77.71118397,"2019-06-17",46,NA,"Jun",272,TRUE
"20-Jun-19","E4-122","E4","122",1,0,"control","E4-122-Jun",29.71,0.664170000000002,0.120124332643004,"3","53","3-53",40.23327,-77.280415,"2019-06-17",53.5,NA,"Jun",NA,FALSE
"20-Jun-19","E4-123","E4","123",1,0,"control","E4-123-Jun",33.62,4.57417,0.827301923672627,"19","70","19-70",47.73136,-80.32791398,"2019-06-17",50.5,NA,"Jun",190,TRUE
"20-Jun-19","E4-124","E4","124",1,0,"control","E4-124-Jun",39.47,10.42417,1.88535535270672,"12","22","12-22",44.54749,-76.12868903,"2019-06-17",58.5,NA,"Jun",197,TRUE
"20-Jun-19","E4-125","E4","125",2,0,"control","E4-125-Jun",30.96,1.91417,0.346204125171656,"18","61","18-61",45.76868,-79.39777502,"2019-06-17",66,67,"Jun",220,TRUE
"20-Jun-19","E4-126","E4","126",1,0.363636363636364,"control","E4-126-Jun",35.85,6.80417,1.23062827354374,"5","28","5-28",41.42692,-75.63466896,"2019-06-17",69.5,NA,"Jun",225,TRUE
"20-Jun-19","E4-127","E4","127",1,0.111111111111111,"control","E4-127-Jun",33.67,4.62417,0.836345115373773,"15","56","15-56",44.2915,-79.04909003,"2019-06-17",63,NA,"Jun",190,TRUE
"20-Jun-19","E4-128","E4","128",2,0.333333333333333,"control","E4-128-Jun",45.4,16.35417,2.95787788846264,"22","15","22-15",46.75552,-79.04650404,"2019-06-17",75.5,NA,"Jun",220,TRUE
"20-Jun-19","E4-129","E4","129",1,0.25,"control","E4-129-Jun",30.19,1.14417,0.206938972974006,"20","43","20-43",48.10384,-80.19977597,"2019-06-17",66,NA,"Jun",220,TRUE
"20-Jun-19","E4-130","E4","130",2,0.2,"control","E4-130-Jun",29.77,0.724170000000001,0.130976162684379,"4","66","4-66",40.06813,-76.90717204,"2019-06-17",71.5,NA,"Jun",204,TRUE
"20-Jun-19","E4-131","E4","131",1,0,"control","E4-131-Jun",36.33,7.28417,1.31744291387474,"10","72","10-72",43.69717,-76.19529499,"2019-06-17",73,NA,"Jun",220,TRUE
"20-Jun-19","E4-132","E4","132",0,0.166666666666667,"control","E4-132-Jun",37.86,8.81417,1.59416457992981,"13","60","13-60",44.6076,-76.27898502,"2019-06-17",54,NA,"Jun",212,TRUE
"20-Jun-19","E4-133","E4","133",1,0,"control","E4-133-Jun",29.06,0.01417,0.0025628405281048,"19","59","19-59",47.73136,-80.32791398,"2019-06-17",35,NA,"Jun",220,TRUE
"20-Jun-19","E4-134","E4","134",1,0.111111111111111,"control","E4-134-Jun",30.17,1.12417,0.203321696293548,"22","6","22-6",46.75552,-79.04650404,"2019-06-17",49.5,NA,"Jun",220,TRUE
"20-Jun-19","E4-135","E4","135",1,0.142857142857143,"control","E4-135-Jun",30.31,1.26417,0.228642633056757,"3","34","3-34",40.23327,-77.280415,"2019-06-17",62.5,NA,"Jun",272,TRUE
"20-Jun-19","E4-136","E4","136",2,0,"control","E4-136-Jun",39.54,10.49417,1.89801582108832,"8","13","8-13",41.97527,-75.19598002,"2019-06-17",55.5,NA,"Jun",234,TRUE
