"ind","FFDAYS","FLOWER"
"E2-113",218,TRUE
"E2-114",196,TRUE
"E2-115",NA,FALSE
"E2-116",218,TRUE
"E2-117",196,TRUE
"E2-118",NA,FALSE
"E2-119",233,TRUE
"E2-12",206,TRUE
"E2-120",218,TRUE
"E2-121",190,TRUE
"E2-122",218,TRUE
"E2-123",218,TRUE
"E2-124",218,TRUE
"E2-125",225,TRUE
"E2-126",212,TRUE
"E2-127",206,TRUE
"E2-128",225,TRUE
"E2-129",NA,FALSE
"E2-13",190,TRUE
"E2-130",225,TRUE
"E2-131",225,TRUE
"E2-132",NA,FALSE
"E2-133",233,TRUE
"E2-134",272,TRUE
"E2-135",NA,FALSE
"E2-136",218,TRUE
"E2-137",272,TRUE
"E2-138",225,TRUE
"E2-139",272,TRUE
"E2-14",206,TRUE
"E2-140",233,TRUE
"E2-141",NA,FALSE
"E2-142",218,TRUE
"E2-143",233,TRUE
"E2-144",196,TRUE
"E2-145",218,TRUE
"E2-146",206,TRUE
"E2-147",233,TRUE
"E2-148",212,TRUE
"E2-149",212,TRUE
"E2-15",218,TRUE
"E2-150",NA,FALSE
"E2-151",NA,FALSE
"E2-152",225,TRUE
"E2-153",272,TRUE
"E2-154",225,TRUE
"E2-155",196,TRUE
"E2-156",NA,FALSE
"E2-157",NA,FALSE
"E2-158",212,TRUE
"E2-159",212,TRUE
"E2-16",212,TRUE
"E2-160",218,TRUE
"E2-161",225,TRUE
"E2-162",NA,FALSE
"E2-163",218,TRUE
"E2-164",272,TRUE
"E2-165",225,TRUE
"E2-166",212,TRUE
"E2-167",272,TRUE
"E2-168",218,TRUE
"E2-169",206,TRUE
"E2-17",212,TRUE
"E2-170",272,TRUE
"E2-171",NA,FALSE
"E2-172",NA,FALSE
"E2-173",233,TRUE
"E2-174",272,TRUE
"E2-175",NA,FALSE
"E2-176",NA,FALSE
"E2-177",206,TRUE
"E2-178",212,TRUE
"E2-179",218,TRUE
"E2-18",185,TRUE
"E2-180",190,TRUE
"E2-181",272,TRUE
"E2-182",190,TRUE
"E2-183",218,TRUE
"E2-184",225,TRUE
"E2-185",NA,FALSE
"E2-186",225,TRUE
"E2-187",NA,FALSE
"E2-188",212,TRUE
"E2-189",272,TRUE
"E2-19",218,TRUE
"E2-190",206,TRUE
"E2-191",NA,FALSE
"E2-192",225,TRUE
"E2-193",212,TRUE
"E2-194",225,TRUE
"E2-195",NA,FALSE
"E2-196",206,TRUE
"E2-197",272,TRUE
"E2-198",196,TRUE
"E2-199",212,TRUE
"E2-2",NA,FALSE
"E2-20",196,TRUE
"E2-200",212,TRUE
"E2-201",NA,FALSE
"E2-202",225,TRUE
"E2-203",272,TRUE
"E2-204",233,TRUE
"E2-205",206,TRUE
"E2-21",NA,FALSE
"E2-22",206,TRUE
"E2-23",NA,FALSE
"E2-24",190,TRUE
"E2-25",212,TRUE
"E2-26",196,TRUE
"E2-27",206,TRUE
"E2-28",272,TRUE
"E2-29",190,TRUE
"E2-3",206,TRUE
"E2-30",212,TRUE
"E2-31",196,TRUE
"E2-32",218,TRUE
"E2-33",NA,FALSE
"E2-34",206,TRUE
"E2-35",NA,FALSE
"E2-36",272,TRUE
"E2-37",233,TRUE
"E2-38",212,TRUE
"E2-39",233,TRUE
"E2-4",NA,FALSE
