"Block","Pos","Ind","Weight"
"E6",169,"E6-169",1.95864864864865
"E6",170,"E6-170",1.24864864864865
"E6",171,"E6-171",16.9886486486486
"E6",172,"E6-172",20.7386486486486
"E6",173,"E6-173",7.51864864864865
"E6",174,"E6-174",3.04864864864865
"E6",175,"E6-175",14.9686486486487
"E6",176,"E6-176",3.22864864864865
"E6",177,"E6-177",4.93864864864865
"E6",178,"E6-178",5.25864864864865
"E6",179,"E6-179",3.29864864864865
"E6",180,"E6-180",4.53864864864865
"E6",181,"E6-181",9.02864864864866
"E6",182,"E6-182",3.10864864864865
"E6",183,"E6-183",2.97864864864865
"E6",184,"E6-184",0.758648648648652
"E6",185,"E6-185",8.85864864864865
"E6",186,"E6-186",2.75864864864865
"E6",187,"E6-187",3.12864864864865
"E6",188,"E6-188",20.8986486486487
"E6",189,"E6-189",3.50864864864865
"E6",190,"E6-190",12.6786486486487
"E6",191,"E6-191",3.59864864864866
"E6",192,"E6-192",11.7086486486487
"E6",193,"E6-193",1.52864864864866
"E6",194,"E6-194",0.228648648648651
"E6",195,"E6-195",2.62864864864865
"E6",196,"E6-196",13.8186486486487
"E6",197,"E6-197",6.89864864864865
"E6",198,"E6-198",6.33864864864865
"E6",199,"E6-199",4.16864864864866
"E6",200,"E6-200",19.6886486486487
"E9",1,"E9-1",0
"E9",2,"E9-2",0
"E9",3,"E9-3",0
"E9",4,"E9-4",0
"E9",5,"E9-5",0
"E9",6,"E9-6",0
"E9",7,"E9-7",0
"E9",8,"E9-8",0
"E9",9,"E9-9",0
"E9",10,"E9-10",0
"E9",11,"E9-11",0
"E9",12,"E9-12",0
"E9",13,"E9-13",0
