"Block","Pos","rawWeight","ind","Weight"
"E11","184",37.31,"E11-184",8.26417
"E11","185",30.68,"E11-185",1.63417
"E11","186",29.07,"E11-186",0.0241700000000016
"E11","187",32.81,"E11-187",3.76417
"E11","188",38.81,"E11-188",9.76417
"E11","189",30.81,"E11-189",1.76417
"E11","190",31.55,"E11-190",2.50417
"E11","191",38.2,"E11-191",9.15417
"E11","192",32.04,"E11-192",2.99417
"E11","193",39.32,"E11-193",10.27417
"E11","194",33.32,"E11-194",4.27417
"E11","195",34.75,"E11-195",5.70417
"E11","196",44.79,"E11-196",15.74417
"E11","197",31.18,"E11-197",2.13417
"E11","198",48.09,"E11-198",19.04417
"E11","199",33.59,"E11-199",4.54417
"E11","200",46.02,"E11-200",16.97417
"E11","201",35.15,"E11-201",6.10417
"E12","1",42.92,"E12-1",13.87417
"E12","2",32.47,"E12-2",3.42417
"E12","3",38.56,"E12-3",9.51417
"E12","4",41.82,"E12-4",12.77417
"E12","5",30.05,"E12-5",1.00417
"E12","6",36.48,"E12-6",7.43417
"E12","7",31.6,"E12-7",2.55417
"E12","8",34.88,"E12-8",5.83417
"E12","9",32.61,"E12-9",3.56417
"E12","10",28.64,"E12-10",0
"E12","11",30.64,"E12-11",1.59417
"E12","12",31.62,"E12-12",2.57417
"E12","13",29.23,"E12-13",0.184170000000002
"E12","14",31.02,"E12-14",1.97417
"E12","15",31.92,"E12-15",2.87417
"E12","16",42.06,"E12-16",13.01417
"E12","17",30.78,"E12-17",1.73417
"E12","18",34.98,"E12-18",5.93417
"E12","19",24.8,"E12-19",0
"E12","20",32.8,"E12-20",3.75417
"E12","21",38.9,"E12-21",9.85417
"E12","22",32.33,"E12-22",3.28417
"E12","23",31.08,"E12-23",2.03417
"E12","24",33.78,"E12-24",4.73417
"E12","25",32.1,"E12-25",3.05417
"E12","26",34.71,"E12-26",5.66417
"E12","27",32.89,"E12-27",3.84417
"E12","28",28.75,"E12-28",0
"E12","29",24.33,"E12-29",0
"E12","30",37.1,"E12-30",8.05417
"E12","31",37,"E12-31",7.95417
"E12","32",33.61,"E12-32",4.56417
"E12","33",29.92,"E12-33",0.874170000000003
"E12","34",35.35,"E12-34",6.30417
"E12","35",30.78,"E12-35",1.73417
"E12","36",38.31,"E12-36",9.26417
"E12","37",32.27,"E12-37",3.22417
"E12","38",30.93,"E12-38",1.88417
"E12","39",34.91,"E12-39",5.86417
"E12","40",33.13,"E12-40",4.08417
"E12","41",29.98,"E12-41",0.934170000000002
"E12","42",40.2,"E12-42",11.15417
"E12","43",36.94,"E12-43",7.89417
"E12","44",68.35,"E12-44",39.30417
"E12","46",35.51,"E12-46",6.46417
"E12","47",35.21,"E12-47",6.16417
"E12","48",32,"E12-48",2.95417
"E12","49",35.7,"E12-49",6.65417
"E12","50",30.98,"E12-50",1.93417
"E12","51",26.7,"E12-51",0
"E12","52",25.84,"E12-52",0
"E12","53",30.56,"E12-53",1.51417
"E12","54",30.3,"E12-54",1.25417
"E12","55",34.47,"E12-55",5.42417
"E12","56",47,"E12-56",17.95417
"E12","57",32.6,"E12-57",3.55417
"E12","58",30.99,"E12-58",1.94417
