Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
e10,200,33.17,df,jan 10th 2020,DF,0,,
e10,201,33.54,df,jan 10th 2020,DF,0,,
e11,1,36.12,df,jan 9th 2020,DF,0,,
e11,2,37.59,df,jan 9th 2020,DF,0,,
e11,3,29.45,df,jan 9th 2020,DF,0,,
e11,4,34.47,df,jan 9th 2020,DF,0,,
e11,5,37.15,df,jan 9th 2020,DF,0,,
e11,6,36.37,df,jan 9th 2020,DF,0,,
e11,7,30,df,jan 9th 2020,DF,0,,
e11,8,30.79,df,jan 9th 2020,DF,0,,
e11,9,32.85,df,jan 9th 2020,DF,0,,
e11,10,30.15,df,jan 9th 2020,DF,0,,
e11,11,31.31,df,jan 9th 2020,DF,0,,
e11,12,33.19,df,jan 9th 2020,DF,0,,
e11,13,30.55,df,jan 9th 2020,DF,0,,
e11,14,29.71,df,jan 9th 2020,DF,0,,
e11,15,29.18,df,jan 9th 2020,DF,0,,
e11,16,32.24,df,jan 9th 2020,DF,0,,
e11,17,28,df,jan 9th 2020,DF,0,,
e11,18,30.17,df,jan 9th 2020,DF,0,,
e11,19,32.2,df,jan 9th 2020,DF,0,,
e11,20,28.73,df,jan 9th 2020,DF,0,,
e11,21,33.49,df,jan 9th 2020,DF,0,,
e11,22,30.57,df,jan 9th 2020,DF,0,,
e11,23,30.72,df,jan 9th 2020,DF,0,,
e11,24,30.55,df,jan 9th 2020,DF,0,,
e11,25,29.73,df,jan 9th 2020,DF,0,,
e11,26,40.92,df,jan 9th 2020,DF,0,,
e11,27,29.9,df,jan 9th 2020,DF,0,,
e11,28,31.37,df,jan 9th 2020,DF,0,,
e11,29,32.19,df,jan 9th 2020,DF,0,,
e11,30,31.7,df,jan 9th 2020,DF,0,,
e11,31,30.35,df,jan 9th 2020,DF,0,,
e11,32,35.56,df,jan 9th 2020,DF,0,,
e11,33,31.91,df,jan 9th 2020,DF,0,,
e11,34,34.97,df,jan 9th 2020,DF,0,,
e11,35,29.46,df,jan 9th 2020,DF,0,,
e11,36,34.59,df,jan 9th 2020,DF,0,,
e11,37,31.71,df,jan 9th 2020,DF,0,,
e11,38,28.46,df,jan 9th 2020,DF,0,,
e11,39,34.1,df,jan 9th 2020,DF,0,,
e11,40,30.21,df,jan 9th 2020,DF,0,,
e11,41,36.52,df,jan 9th 2020,DF,0,,
e11,42,34.8,df,jan 9th 2020,DF,0,,
e11,43,29.43,df,jan 9th 2020,DF,0,,
e11,44,30.65,df,jan 9th 2020,DF,0,,
e11,45,29.59,df,jan 9th 2020,DF,0,,
e11,46,42.47,df,jan 9th 2020,DF,0,,
e11,47,30.12,df,jan 9th 2020,DF,0,,
e11,48,31.23,df,jan 9th 2020,DF,0,,
e11,49,30.74,df,jan 9th 2020,DF,0,,
e11,50,30.04,df,jan 9th 2020,DF,0,,
e11,51,31.16,df,jan 9th 2020,DF,0,,
e11,52,35.27,df,jan 8th 2020,DF,0,,
e11,53,40.02,df,jan 8th 2020,DF,0,,
e11,54,35.12,df,jan 8th 2020,DF,0,,
e11,55,33.1,df,jan 8th 2020,DF,0,,
e11,56,30.77,df,jan 8th 2020,DF,0,,
e11,57,33.32,df,jan 8th 2020,DF,0,,
e11,58,35.15,df,jan 8th 2020,DF,0,,
e11,59,30.45,df,jan 8th 2020,DF,0,,
e11,60,29.91,df,jan 8th 2020,DF,0,,
e11,61,31.59,df,jan 8th 2020,DF,0,,
e11,62,31.46,df,jan 8th 2020,DF,0,,
e11,63,49.08,df,jan 8th 2020,DF,0,,
e11,64,33.71,df,jan 8th 2020,DF,0,,
e11,65,33.39,df,jan 8th 2020,DF,0,,
e11,66,34.59,df,jan 8th 2020,DF,0,,
e11,67,31.49,df,jan 8th 2020,DF,0,,
e11,68,32.39,df,jan 8th 2020,DF,0,,
e11,69,32.97,df,jan 8th 2020,DF,0,,
e11,70,28.42,df,jan 8th 2020,DF,0,,
e11,71,30.25,df,jan 8th 2020,DF,0,,
e11,72,30.63,df,jan 8th 2020,DF,0,,
e11,73,30.68,df,jan 8th 2020,DF,0,,
e11,74,30.1,df,jan 8th 2020,DF,0,,
e11,75,30.52,df,jan 8th 2020,DF,0,,
e11,76,40.02,df,jan 8th 2020,DF,0,,
e11,77,29.73,df,jan 8th 2020,DF,0,,
e11,78,36.61,df,jan 8th 2020,DF,0,,
e11,79,33.15,df,jan 8th 2020,DF,0,,
e11,80,30.72,df,jan 8th 2020,DF,0,,
e11,81,31.81,df,jan 8th 2020,DF,0,,
e11,82,30.52,df,jan 8th 2020,DF,0,,
e11,83,35.6,df,jan 8th 2020,DF,0,,
e11,84,29.86,df,jan 8th 2020,DF,0,,
e11,85,32.04,df,jan 8th 2020,DF,0,,
e11,86,30.68,df,jan 8th 2020,DF,0,,
e11,87,30.81,df,jan 8th 2020,DF,0,,
e11,88,34.39,df,jan 8th 2020,DF,0,,
e11,89,33.72,df,jan 8th 2020,DF,0,,
e11,90,32.42,df,jan 8th 2020,DF,0,,
e11,91,31.65,df,jan 8th 2020,DF,0,,
e11,92,32.77,df,jan 8th 2020,DF,0,,
e11,93,33.19,df,jan 8th 2020,DF,0,,
e11,94,35.8,df,jan 8th 2020,DF,0,,
e11,95,37.5,df,jan 8th 2020,DF,0,,
e11,96,30.84,df,jan 8th 2020,DF,0,,
e11,97,36.65,df,jan 8th 2020,DF,0,,
e11,98,39.47,df,jan 8th 2020,DF,0,,
e11,99,29.9,df,jan 8th 2020,DF,0,,
e11,100,48.78,df,jan 8th 2020,DF,0,,
e11,101,42.09,df,jan 8th 2020,DF,0,,
e11,102,47.99,df,jan 8th 2020,DF,0,,
e11,103,30.95,df,jan 8th 2020,DF,0,,
e11,104,36.19,df,jan 8th 2020,DF,0,,
e11,105,29.23,df,jan 8th 2020,DF,0,,
e11,106,32.62,df,jan 8th 2020,DF,0,,
e11,107,35.43,df,jan 8th 2020,DF,0,,
e11,108,30.41,df,jan 8th 2020,DF,0,,
e11,109,30.14,df,jan 8th 2020,DF,0,,
e11,110,29.58,df,jan 8th 2020,DF,0,,
